,ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
0,2022-09-01 00:00:00+00:00,35,2,3199,126.88,128.72,125.3,128.72,762616,EA
1,2022-09-02 00:00:00+00:00,35,2,3197,128.25,128.79,124.99,125.33,644571,EA
2,2022-09-06 00:00:00+00:00,35,2,3197,126.23,126.23,122.54,124.3,846369,EA
3,2022-09-07 00:00:00+00:00,35,2,3196,124.4,125.87,122.9,125.02,945698,EA
4,2022-09-08 00:00:00+00:00,35,2,3199,124.82,127.3,124.44,127.21,696420,EA
5,2022-09-09 00:00:00+00:00,35,2,3199,127.0,129.75,126.99,129.1,620997,EA
6,2022-09-12 00:00:00+00:00,35,2,3198,128.58,131.41,128.28,130.42,692965,EA
7,2022-09-13 00:00:00+00:00,35,2,3193,129.0,129.48,126.65,127.6,1270189,EA
8,2022-09-14 00:00:00+00:00,35,2,3193,127.34,128.22,125.67,127.0,744724,EA
9,2022-09-15 00:00:00+00:00,35,2,3195,125.44,126.67,123.75,124.0,991616,EA
10,2022-09-16 00:00:00+00:00,35,2,3193,123.89,125.17,119.96,122.28,3242310,EA
11,2022-09-19 00:00:00+00:00,35,2,3189,120.67,123.03,120.0,122.93,745952,EA
12,2022-09-20 00:00:00+00:00,35,2,3191,122.86,122.99,119.91,120.54,647341,EA
13,2022-09-21 00:00:00+00:00,35,2,3190,120.84,121.26,116.64,117.19,670611,EA
14,2022-09-22 00:00:00+00:00,35,2,3190,117.85,118.3,116.46,117.78,552865,EA
15,2022-09-23 00:00:00+00:00,35,2,3191,116.52,117.32,114.07,114.87,724899,EA
16,2022-09-26 00:00:00+00:00,35,2,3190,115.27,116.55,113.95,114.75,764350,EA
17,2022-09-27 00:00:00+00:00,35,2,3190,116.0,116.57,114.64,115.26,625043,EA
18,2022-09-28 00:00:00+00:00,35,2,3191,114.24,118.95,114.06,118.29,1025282,EA
19,2022-09-29 00:00:00+00:00,35,2,3193,117.02,118.25,116.11,117.92,754451,EA
20,2022-09-30 00:00:00+00:00,35,2,3194,118.97,118.97,115.39,115.55,1089887,EA
21,2022-10-03 00:00:00+00:00,35,2,3191,114.7,120.44,114.7,119.86,1077796,EA
22,2022-10-04 00:00:00+00:00,35,2,3189,120.25,123.42,120.24,123.42,932306,EA
23,2022-10-05 00:00:00+00:00,35,2,3187,120.92,123.74,120.92,122.92,781698,EA
24,2022-10-06 00:00:00+00:00,35,2,3183,122.9,124.79,122.59,123.63,687423,EA
25,2022-10-07 00:00:00+00:00,35,2,3180,123.65,123.66,121.26,122.12,956046,EA
26,2022-10-10 00:00:00+00:00,35,2,3179,120.48,122.82,119.83,119.83,487976,EA
27,2022-10-11 00:00:00+00:00,35,2,3179,119.43,121.25,118.69,119.33,716232,EA
28,2022-10-12 00:00:00+00:00,35,2,3178,118.39,122.15,118.11,118.64,571679,EA
29,2022-10-13 00:00:00+00:00,35,2,3179,119.0,122.16,115.57,120.34,639097,EA
30,2022-10-14 00:00:00+00:00,35,2,3178,121.95,124.54,119.56,119.7,892620,EA
